question,sentence,label,idx
What is as important as identifying plague symptoms?,"Most work has been done on the spread of the plague in England, and even estimates of overall population at the start vary by over 100% as no census was undertaken between the time of publication of the Domesday Book and the year 1377.",1,1103
Who was the head of the household that Temüjin joined when he was nine years old?,"His father arranged a marriage for him, and at nine years of age he was delivered by his father to the family of his future wife Börte, who was a member of the tribe Khongirad.",1,3228
When did Kublai move the Mongol capital?,"In 1271, Kublai formally claimed the Mandate of Heaven and declared that 1272 was the first year of the Great Yuan (Chinese: 大元) in the style of a traditional Chinese dynasty.",1,2946
What can the exhaust steam not fully do when the exhaust event is insufficiently long?,The simplest valve gears give events of fixed length during the engine cycle and often make the engine rotate in only one direction.,1,2523
When did Kenya reach the semi-finals?,The women's team has competed at the Olympics and World Championships but without any notable success.,1,3549
What is one example of an instance that the quantitative answer to the traveling salesman problem fails to answer?,"The quantitative answer to this particular problem instance is of little use for solving other instances of the problem, such as asking for a round trip through all sites in Milan whose total length is at most 10 km.",0,1024
What famous 5.9-mile athletic event takes place annually in Newcastle in June?,"The city's speedway team Newcastle Diamonds are based at Brough Park in Byker, a venue that is also home to greyhound racing.",1,1632
Where was Dyrrachium located?,"Some time later, Dyrrachium—one of the most important naval bases of the Adriatic—",0,982
What sort of motion did Watt's steam engine continuously produce?,In 1781 James Watt patented a steam engine that produced continuous rotary motion.,0,3202
"Besides the arguments with Rome and his own fellow reformers, what scandal  contributed to Luther's failing health?","Luther had been suffering from ill health for years, including Ménière's disease, vertigo, fainting, tinnitus, and a cataract in one eye.",1,1955
Which species moves by a darting motion?,Cestids can swim by undulating their bodies as well as by the beating of their comb-rows.,1,2635
"Along with mills and mines, in what industrial locations did steam drive machines?","There have at one time or another been steam-powered farm tractors, motorcycles (without much success) and even automobiles as the Stanley Steamer.",1,4932
Who said the homeless in the area would have to leave?,More than 1 million people are expected to attend the festivities in San Francisco during Super Bowl Week.,1,1170
What can cause salaries to go higher than the range?,"Teachers in state schools must have at least a bachelor's degree, complete an approved teacher education program, and be licensed.",1,931
What element is used as a coolant in the process of making liquid oxygen?,High-purity liquid O_2 is usually obtained by the fractional distillation of liquefied air.,1,1720
What team did the Panthers defeat?,They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995.,0,3168
What type of relationships do enthusiastic teachers cause?,Enthusiastic teachers are particularly good at creating beneficial relations with their students.,0,1351
When was Temüjin's half-brother Begter killed?,(not Begter's mother) would have to accept him as her husband if and when he became an adult.,1,4655
Who was the first American to win the Nobel Memorial Prize in Economic Sciences?,"In economics, notable Nobel Memorial Prize in Economic Sciences winners Milton Friedman, a major advisor to Republican U.S. President Ronald Reagan and Conservative British Prime Minister Margaret Thatcher, George Stigler, Nobel laureate and proponent of regulatory capture theory, Gary Becker, an important contributor to the family economics branch of economics, Herbert A. Simon, responsible for the modern interpretation of the concept of organizational decision-making, Paul Samuelson, the first American to win the Nobel Memorial Prize in Economic Sciences, and Eugene Fama, known for his work on portfolio theory, asset pricing and stock market behaviour, are all graduates.",0,3474
Do adults or juveniles secretions luminesce brighter?,"When some species, including Bathyctena chuni, Euplokamis stationis and Eurhamphaea vexilligera, are disturbed, they produce secretions (ink) that luminesce at much the same wavelengths as their bodies.",1,4979
When was a part of Grainger Town destroyed?,"A portion of Grainger Town was demolished in the 1960s to make way for the Eldon Square Shopping Centre, including all but one side of the original Eldon Square itself.",0,1944
What is consultant pharmacy mainly concerned with?,"Traditionally consultant pharmacists were usually independent business owners, though in the United States many now work for several large pharmacy management companies (primarily Omnicare, Kindred Healthcare and PharMerica).",1,2332
